Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	NpcHalfIcon	Contents[1]	Contents[2]	Contents[3]	Contents[4]	Contents[5]	Type	UiType
111	Lee: Entropy	314			9001	I like it a lot, thanks.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RoleStory/R3LiangNormal01.png	I found this rose in some ruins during a mission long ago.	It was so beautiful. According to the database, on certain important dates, people in the Golden Age would give such flowers...to their important ones.	I recorded all its data, including the angle of every single petal, in my M.I.N.D. so I could restore it. It is the only rose I have stored in my M.I.N.D... And I hope you can see it too.			1	2
112	Liv: Luminance	312			9001	Alright.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RoleStory/R3LifuNormal01.png	Commandant, thanks for your rose. I love it.	Actually... I have a little surprise for you too.	Can you come to the deck of Babylonia later?			1	2
113	Kamui: Tenebrion	311			9001	I'll take good care of this.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RoleStory/R3ShenweiNormal01.png	Hey, Commandant, you busy? Mind if I spare some of your time?	I got your gift, so I was wondering if I should do something to return your favor. How about I give myself to you... Joking! Hehe.	Anyway, I've got a little surprise for you! Don't tell anyone else!	Make sure you take good care of it! I want to stay with Commandant forever just like this gift.		1	2
114	Karenina: Ember	313			9001	What about a hug?	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/RoleStory/R3KalieninaNormal01.png	You should expect to see me today when you gave me that.	So what's with this stupid outfit? You look miserably clueless!	Whatever, just give me your hand. Don't you know how to hold hands?	Wait a sec, don't grab me all of a sudden! Don't use so much force, you fool!		1	2
115	Nanami: Pulse	315			9001	Thanks... Wait, what?	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/RoleStory/R3Yongyechaonormal01.png	I'm back! It's a me! Na☆na☆mi!	Why didn't you tell Nanami earlier!? Do you know how difficult it is to take this out?	I had to return to the lab within 15 sec, smash—I mean open the liquid nitrogen container, and rush back here!	Let me think... You shall have a one-day date with Nanami as punishment!		1	2
116	α	316			9001	That's a bit difficult...	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RoleStory/R3LuxiyaNormal03.png	Are you waiting for me...? Doesn't seem so. Fine.	I never thought you would care about such a date in Babylonia.	Honestly, that gift of yours wasn't very useful. In other words, I didn't like it.	If you are ever going to give me something again... Just pack yourself up and come to the Ascendant's base.		1	2
117	Watanabe: Astral	317			9001	I want to see you too.	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1SS.png	Assets/Product/Texture/Image/RoleStory/R3DubianNormal01.png	Commandant, it's been a while. How have you been?	I found a rose in an abandoned stronghold while patrolling. I didn't know why, but you were the first thing that came to my M.I.N.D... So I brought it back in the hope that you would like it.	Then I saw your gift. You were thinking exactly what I was thinking, weren't you?	I have put your rose in a vase. Hope I can see you before it withers, if possible.		1	2
118	Ayla: Brilliance	318			9001	I'm ready!	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	Assets/Product/Texture/Image/RoleStory/R2ErrorNormal01.png	Happy May 20th, Commandant! I didn't expect to get a gift from you.	Ah... What I mean is, I'm actually very happy.	Because it was the first time that I got such a valuable gift. Well, Commandant, are you ready for my "real gift"?			1	2
119	Bianca: Veritas	319			9001	Yeah, be there soon.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadBianka1SS.png	Assets/Product/Texture/Image/RoleStory/R3BiankaNormal01.png	Thanks for your gift, Commandant.	By the way, "520 Days With You" just hit the theaters today. Let's watch it together.	And... There's something I want to tell you too.			1	2
120	Sophia: Silverfang	320			9001	Thank you, Sophia.	Sophia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png	Assets/Product/Texture/Image/RoleStory/R2SufeiyaNormal01.png	So this is true...	This is for you.	I heard today was a day to exchange gifts with important ones.	I spent a lot of time preparing this.		1	2
121	Chrome: Arclight	321			9001	Come to me.	Chrome	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png	Assets/Product/Texture/Image/RoleStory/R2KuluomuNormal01.png	Incoming communication from Strike Hawk—Chrome's dedicated channel.	Commandant of Gray Raven, please, allow me to call you by your name this time.	KURONAME, I have received your gift. I don't know if I have understood this correctly...	Speaking of roses, I wonder if you have ever heard of "Unter der Rose"—	I know this may not be allowed, but I want to be there with you.	1	2
200000	New Year Gift 1	302				明けましておめでとう	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RoleStory/LuxiyaNormal01.png	Is this for... me? Thank you, Commandant.	In this new year, the Gray Raven squad and I will continue to fight alongside you.	Happy New Year, Commandant.			1	2
200001	New Year Gift 2	309				明けましておめでとう	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RoleStory/R2LuxiyaNormal01.png	Is this for... me? Thank you, Commandant.	In this new year, the Gray Raven squad and I will continue to fight alongside you.	Happy New Year, Commandant.			1	2
200002	New Year Gift 3	316				明けましておめでとう	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RoleStory/R3LuxiyaNormal03.png	...Presents? You think this sort of tomfoolery would work on me?	But since it's you, I guess I'll accept it. Just for now.	Next time, get something more memorable.			1	2
200003	New Year Gift 4	303				明けましておめでとう	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	Assets/Product/Texture/Image/RoleStory/LifuNormal01.png	Is this a... present? May I really?	Commandant, you're always so kind...	Thank you, Commandant. And, Happy New Year!			1	2
200004	New Year Gift 5	310				明けましておめでとう	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RoleStory/R2LifuNormal01.png	Is this a... present? May I really?	Commandant, you're always so kind...	Thank you, Commandant. And, Happy New Year!			1	2
200005	New Year Gift 6	312				明けましておめでとう	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RoleStory/R3LifuNormal01.png	Is this a... present? May I really?	Commandant, you're always so kind...	Thank you, Commandant. And, Happy New Year!			1	2
200006	New Year Gift 7	301				明けましておめでとう	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	Assets/Product/Texture/Image/RoleStory/LiangNomal01.png	Ah, Commandant. Here you are. The data report I sent you 1 hour and 36 minutes 07 seconds ago is still unread. If it's because the function for analysis is...	What? A New Year present...? For me?	I, ahem, well, thanks. Happy New Year, Commandant.			1	2
200007	New Year Gift 8	314				明けましておめでとう	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RoleStory/R3LiangNormal01.png	Ah, Commandant. Here you are. The data report I sent you 1 hour and 36 minutes 07 seconds ago is still unread. If it's because the function for analysis is...	What? A New Year present...? For me?	I, ahem, well, thanks. Happy New Year, Commandant.			1	2
200008	New Year Gift 9	306				明けましておめでとう	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RoleStory/ShenweiNormal01.png	Ooh! That's my pal! You got me a present!	Oh, it's a New Year present!	Thanks! I wish you a Happy New Year too!			1	2
200009	New Year Gift 10	311				明けましておめでとう	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RoleStory/R3ShenweiNormal01.png	Ooh! That's my pal! You got me a present!	Oh, it's a New Year present!	Thanks! I wish you a Happy New Year too!			1	2
200010	New Year Gift 11	305				明けましておめでとう	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RoleStory/Yongyechaonormal01.png	Oh, oh! Nanami's got a New Year present too? Yay!	I remember in the files that, people back in the Golden Age would greet each other around this time, right?	So... Nanami shall revive this tradition! Commandant! Happy New Year!			1	2
200011	New Year Gift 12	315				明けましておめでとう	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/RoleStory/R3Yongyechaonormal01.png	Oh, oh! Nanami's got a New Year present too? Yay!	I remember in the files that, people back in the Golden Age would greet each other around this time, right?	So... Nanami shall revive this tradition! Commandant! Happy New Year!			1	2
200012	New Year Gift 13	304				明けましておめでとう	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/RoleStory/OlisuoNomal01.png	A New Year present for me?	Thank you, Commandant of Gray Raven.	Happy New Year.			1	2
200013	New Year Gift 14	307				明けましておめでとう	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	Assets/Product/Texture/Image/RoleStory/KalieninaNomal01.png	A present? Pfft, I'm not a kid, I don't want it.	A-alright, fine... But only because you're insisting so annoyingly.	(H-Happy New Year...) Nothing! Hmph!			1	2
200014	New Year Gift 15	313				明けましておめでとう	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/RoleStory/R3KalieninaNormal01.png	A present? Pfft, I'm not a kid, I don't want it.	A-alright, fine... But only because you're insisting so annoyingly.	(H-Happy New Year...) Nothing! Hmph!			1	2
200015	New Year Gift 16	308				明けましておめでとう	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	Assets/Product/Texture/Image/RoleStory/DubianNormal01.png	A New Year present? All the trouble just for me...?	Oh, well. Guess I better co-operate then.	Happy New Year.			1	2
