Id	CharacterId	UnlockLv	Title	Content	ConditionDescript
37	1071002	1	No.001	\nSupport associated with the Purifying Force. Attacker-type.\nWielding a hand cannon, she is an expert in demolition and explosives. Even with performance limits imposed, her ability in combat is second to none, even elite Constructs in the Execution Squad.	Affection 1
38	1071002	2	No.002	\nSees Lucia as her greatest rival, constantly seeking the opportunity to avenge the defeat that she once suffered at Lucia's hands, but Lucia has always been able to find a reason to avoid it.	Affection 2
39	1071002	3	No.003	\nAs a regular support associate of the Purifying Force, she often works with Bianca.\nThey worked together to pursue Kamui.	Affection 3
40	1071002	4	No.004	\nKarenina's fiery temper and obsession with winning have led to many conflicts.\nHowever, it is also very easy to redirect her attention and calm her down.\nBianca, in particular, has become something of an expert at this.	Affection 4
41	1071002	5	No.005	\nKarenina's consciousness came from a much-abused orphan in the slums.\nShe was raised by someone she calls "Grandpa", who came down from the upper levels to the slums.\nThere seem to be more to Grandpa's life in the upper levels and his death than what meets the eye.\nAfter miraculously surviving the Punishing Virus epidemic, Karenina was made into a Construct after she was rescued.	Affection 5
42	1071002	6	No.006	\nKarenina would never admit it, but she will never stand idly by the side when Lucia and Gray Raven are in danger.\nHer harsh words belie how fond she is of her friends.	Affection 6
43	1081002	1	No.001	\nLeader of the Forsaken. Attacker-type.\nAn expert with twin blades, Watanabe is able to quickly and silently approach the enemy to score a stealthy kill.\n	Affection 1
44	1081002	2	No.002	\nMuch loved and respected by the Forsaken.\nWatanabe named the Forsaken headquarters as "Oasis".\nHe considers the Forsaken to be his family, and is committed to protecting the home of the Forsaken.	Affection 2
45	1081002	3	No.003	\nFormer Construct of Babylonia and an elite member of the Execution Squad.\nAfter coming into conflict with the decision-makers of Babylonia, he removed his own Inver-Device and traveled to Earth with only minimum protection against the virus.\nHe gathered the humans and Constructs that have been left behind on Earth, and in time they came to be called the Forsaken.	Affection 3
46	1081002	4	No.004	\n"The world I want is one that is fair and peaceful."\n\nAs a dissident of Babylonia, Watanabe's suspicions were confirmed when he came to Earth and saw for himself the lives of the humans and Constructs left behind.\nHis opinion of Babylonia seems to have improved slightly after encountering Gray Raven.	Affection 4
47	1081002	5	No.005	\nWatanabe's Consciousness comes from a Reserve Army soldier on Earth. He had met Bianca when she was a human.\nDuring the Punishing outbreak, he hesitated to open fire on the Corrupted priest who seemed to have retained a modicum of reason.\nThis was one of the reasons why Bianca had to kill her foster father with her own hands.	Affection 5
48	1081002	6	No.006	\nAs a Construct, Watanabe has become more mature and determined.\nHe is willing to abandon everything, and protect everything.\nAs the leader of the Forsaken, he is taking them towards a future that he believes in.	Affection 6
49	1021002	1	No.001	\nNew frame provisioned from Babylonia for the purpose of rescuing Kamui.\nFollowing their new-look leader, Gray Raven goes forth.	Affection 1
50	1021002	2	No.002	\nWeight reduced by 10%, increasing explosiveness. New weapon storage points have also been added.	Affection 2
51	1021002	3	No.003	\nThe two condensers gather electrons in the atmosphere, supporting Lucia with electrical power.	Affection 3
52	1021002	4	No.004	\nCreates an electric field that supplies energy to the entire team.	Affection 4
53	1021002	5	No.005	\nFeeling more for the commandant than a simple superior and subordinate relationship, but finding it difficult to seek the answer.	Affection 5
54	1021002	6	No.006	\n"Does this hairstyle suit me?"\nThe hairstyle of Lucia's new frame seems to be troubling her.\nPerhaps all she seeks is a word of approval from the commandant.	Affection 6
55	1031002	1	No.001	\nLiv's new frame was customized by the commandant of Egret, Liv's previous squad.	Affection 1
56	1031002	2	No.002	\nLiv cut her own hair as a sign of her determination to break with the past, asserting her identity as Liv of Gray Raven.	Affection 2
57	1031002	3	No.003	\nThe change in frame did not signify a change in Liv's character. It is her attitude that has changed.	Affection 3
58	1031002	4	No.004	\nIn order to become more useful in battle, Liv has initiated a training program that puts great pressure not just on herself, but on the commandant as well.\nHer zealousness seems to have become something of a headache for the commandant.	Affection 4
59	1031002	5	No.005	\nLiv wants to work hard, to be more useful to the commandant, to remain in Gray Raven, by the side of its commandant. The change in frame has only made her feelings all the more intense.	Affection 5
60	1031002	6	No.006	\nLiv finally understood her commandant's words.\nShe does not need to carry everything by herself. Her commandant and her comrades are there for her.	Affection 6
61	1071003	1	No.001	\nThe new frame that the commandant of Gray Raven provisioned for Karenina is more than just a new look, it also awakens a new attack mode for her hand cannon.	Affection 1
62	1071003	2	No.002	\nFires a continuous thermal wave from the nozzle. Can be used as a powerful blade that cuts through any matter.	Affection 2
63	1071003	3	No.003	\nThe frame is made from the newest prism sheet, while the build-in optical receiver makes charging convenient and quick. Its weaponry has also been upgraded to a high-speed levi-gun.	Affection 3
64	1071003	4	No.004	\nKarenina would never say it, but she is very happy about the look of her new frame.	Affection 4
65	1071003	5	No.005	\nKarenina was a major contributor in Gray Raven's construction of the above-ground facility.\nDespite her constant complaints, it was abundantly clear that she was enjoying it.	Affection 5
66	1071003	6	No.006	\nThe new frame has made her even more competitive. Added to her existing obsession for Lucia is a newfound obsession for the commandant.	Affection 6
67	1031003	1	No.001	\nBrand-new frame compiled from Liv's memories and data recovered from ancient ruins. The pure white outfit seems almost sacred.	Affection 1
68	1031003	2	No.002	\nSpecial levitation devices on the feet and jet boosters on the back give Liv great mobility.	Affection 2
69	1031003	3	No.003	\nBoth levi-guns have been upgraded, with improved firepower and the ability to self-duplicate in a special mode.	Affection 3
70	1031003	4	No.004	\nShe can release nano-particles from her skirt, repairing damage taken by allies.	Affection 4
71	1031003	5	No.005	\nThe new frame is so eye-catching that, for a long while, Liv felt reluctant to show herself in front of the others.	Affection 5
72	1031003	6	No.006	\nThe mission at the church allowed Liv to finally show her love for her new frame and tell the commandant her true feelings.	Affection 6
73	1061003	1	No.001	\nTenebrion has transformed this frame.\nThe heavy armor does not simply protect it from external threat, it also holds back the dangerous power within.	Affection 1
74	1061003	2	No.002	\nAble to toggle between Bastion and Tenebrion modes to perform different attacks.	Affection 2
75	1061003	3	No.003	\nTenebrion enables powerful attacks, but the energy feedback will eventually overwhelm the user if used for an extended period.	Affection 3
76	1061003	4	No.004	\nThe power of Tenebrion is gradually strengthening and changing Kamui.	Affection 4
77	1061003	5	No.005	\nCamu's existence, who the "real" Kamui is, and where Kamui actually came from are all still unsolved mysteries.	Affection 5
78	1061003	6	No.006	\nKamui and Camu sometimes discuss which personality the commandant sees in him.	Affection 6
79	1011003	1	No.001	\nDesigned to more effectively leverage Lee's computing powers. Produced in the same batch as Kamui's frame.	Affection 1
80	1011003	2	No.002	\nThe upgraded perception module enables Lee to control trajectory with even greater precision, resulting in highly accurate fire.	Affection 2
81	1011003	3	No.003	\nThe new anchor lock-on ability enables quick identification and tracking of the enemy in combination with Lee's computing powers.	Affection 3
82	1011003	4	No.004	\nThe new frame prioritizes Lee's computing module efficiency, enabling the most precise computations within a matter of microseconds.	Affection 4
83	1011003	5	No.005	\nLee's talent in repair and assembly has blossomed, resulting in successful modification of Construct frames.	Affection 5
84	1011003	6	No.006	\nHas made a series of ever-advancing botlets for the commandant, which the commandant uses as alarm clocks.	Affection 6
85	1051003	1	No.001	\nHigh-mobility frame of Nanami's own design.\nWeight has been further reduced, resulting in unparalleled speed in combination with IR-005 propulsion wheels.	Affection 1
86	1051003	2	No.002	\nThe inspiration came about when Nanami came across a video of a roller-skating competition in the database.\nShe was immediately drawn to the participants' quick and agile movements.	Affection 2
87	1051003	3	No.003	\nThe sight of Nanami dashing across the battlefield with her new frame catches everybody's eye.	Affection 3
88	1051003	4	No.004	\nWith more powerful and flexible arms, a supercharged engine, and a revolutionary propulsion wheel design, Nanami's new frame delivers staggering performance.	Affection 4
89	1051003	5	No.005	\nThe holder on her leg is for Nanami's precious digital diary.	Affection 5
90	1051003	6	No.006	\nThe first entry in the Diary of Important Things starts with the commandant.	Affection 6
91	1021003	1	No.001	\nOnly participates in important operations.\nOften operates separately from other Ascendants.	Affection 1
92	1021003	2	No.002	\nThe Punishing Virus contributes to little of her prowess.	Affection 2
93	1021003	3	No.003	\nNot interested in weak foes or unnecessary slaughter.\nOften leaves mundane tasks and cleanup duties to Roland and Gabriel.	Affection 3
94	1021003	4	No.004	\nThe sheath on her belt can also be used as a weapon or support.\nIts size can adapt to the shape of the blade.	Affection 4
95	1021003	5	No.005	\nHas been observing the commandant of Gray Raven for a long time.\nHer attitude towards Lucia of Gray Raven has changed.	Affection 5
96	1021003	6	No.006	\nThings have been a little tense between the sisters since their reunion.\nLuna is finding it hard to understand her sister's thoughts.	Affection 6
97	1081003	1	No.001	\nA frame specially designed to control spacecraft. It was used by Watanabe when he served in the Task Force.	Affection 1
98	1081003	2	No.002	\nIts streamlined design and special composite materials can minimize air resistance, reflect and absorb electromagnetic waves, and reduce heat radiation.	Affection 2
99	1081003	3	No.003	\nSpecially-designed, the dual blades can unleash nanoscale air pulses through particle vibration to destroy targets on a molecular level.	Affection 3
100	1081003	4	No.004	\nIn order to enhance its performance in the mission on the space station, Babylonia has further upgraded its mobility and added a visually dynamic stealth function module to it.	Affection 4
101	1081003	5	No.005	\nIt is not only a proof of cooperation between Babylonia and Forsaken on the space station, but also a frame that represents Watanabe's past.\nAfter the mission, Babylonia gave it to Watanabe to show sincerity for cooperation.\nPersuaded by the commandant, Watanabe reluctantly accepted the frame.	Affection 5
102	1081003	6	No.006	\n"Power is nothing without the just means."\nThough the operation on the space station did not change Watanabe's views on Babylonia, he sees Gray Raven's acts as the just way of wielding power.	Affection 6
103	1091002	1	No.001	\nAn Archaeological Team member, Tank-type Construct.\nShe wields a great scythe as her weapon. Because her frame is relatively vulnerable, she defends herself through her scythe's high-performance transformation modules. Her attacks are valiant and dashing, amazing anyone to lay eyes on them.	Affection 1
104	1091002	2	No.002	\nCombat is not her main duty. The equipment and systems installed in her frame are not purely for combat, but also for virus protection, surveying, and analysis during an archaeological expedition.\nAs an all-rounded Construct, she can quickly adapt to a variety of unknown environments.	Affection 2
105	1091002	3	No.003	\nHer skirt is not merely a skirt, but also a piece of equipment for combat purposes.\nAs the scythe is a heavy weapon, a great sense of balance is required for the user to stay on their feet. The skirt is a balancing system and functions as counterweights.	Affection 3
106	1091002	4	No.004	\n"This world needs more colors!"\nAlways confident, infectiously optimistic, and unbelievable empathic, Ayla is welcomed like a superstar everywhere.\nWherever she goes, her voluminous charm catches people's eyes.	Affection 4
107	1091002	5	No.005	\nShe is part of the "new blood" living in Babylonia since birth. Affected by her best friend Selena, she willingly became a Construct.\nBrave-tinted Ayla is a true seeker, a seeker of worldly tones and hues within this cosmos, and she would even cast her entire life for them.	Affection 5
108	1091002	6	No.006	\nAyla might seem outgoing and open, but her heart is a door shut tight. Few truly understand her, and fewer are her true friends.\nBut for her true friends, Ayla will give even her life without thinking.\nAyla has never, and will never think of abandoning Selena.	Affection 6
109	1041003	1	No.001	\nAn experimental frame illegally created by Daedalus. Even though the modification technology applied to it is immature, its performance remains top-class.	Affection 1
110	1041003	2	No.002	\nThe frame has an enhanced visual module that enables Bianca to catch fast-moving targets even while sniping from afar. In close-range combat, she can use the module to swiftly pinpoint enemy weaknesses.	Affection 2
111	1041003	3	No.003	\nThe frame can create ion beams through electric potential difference generated by its internal energy bank, thereby controlling the positive and negative charge movements to create lightning for attacking enemies. When all frame restrictions are removed, it can even change the weather in a certain area to cause thunder strikes.	Affection 3
112	1041003	4	No.004	\nThe Science Council has upgraded and repaired the frame, but due to Daedalus' immature Construct technology, extended usage of this frame can still cause deviations for Bianca's consciousness model over time.	Affection 4
113	1041003	5	No.005	\nBianca kept this frame in good shape to remind herself to never forget the past.	Affection 5
114	1041003	6	No.006	\nIn truth, Bianca quite enjoyed the time she spent with others while using this frame, such as a certain trade offer and a certain gathering.	Affection 6
115	1111002	1	No.001	\n"My name is Sophia. I come for the benefit of Akdilek Commercial Alliance."\nA temporary member of Gray Raven. Support type. Skilled at firearms CQC and emergency repairs.\nTo bring the Eternal Engine to its true terminal station, she has temporarily joined Gray Raven as an Akdilek Commercial Alliance envoy to learn everything she can.\nHer loyalty to her master impresses anyone she meets.	Affection 1
116	1111002	2	No.002	\n"System all green, ready to engage."\nBy adopting a full-coverage design, this frame provides exceptional mobility, helping Sophia speed through tiny spaces that others might find it hard to squeeze in. The robotic arms are linked to her M.I.N.D. with a sync rate reaching 99.78%, meaning that Sophia can control these arms without delay.	Affection 2
117	1111002	3	No.003	\nSophia's consciousness came from an orphan abandoned in the refuse collection carriage of Asslam. Without a name and parents, this little girl, known as Hyena, managed to survive and became one of the train technicians of Akdilek.	Affection 3
118	1111002	4	No.004	\n"Thanks... I will treasure it as much as I treasure my tools..."\nDuring one repair mission, the repair team got caught up in an accident. They decided to bring the youngest girl back to the train even if it would cost them their lives. Having accidentally fallen into the hands of the aristocrats, Sophia was modified into a Construct and became their tool.""	Affection 4
119	1111002	5	No.005	\n"You're nice to me... Just like Jamilah."\nAt the night of the aristocrats' usurpatory scheme, Sophia came to the carriage of the leader of Akdilek. What happened that night remains unknown, but ever since then, a petite guard can be seen near Jamilah's side.	Affection 5
120	1111002	6	No.006	\nAfter protecting Asslam with Gray Raven, Jamilah has forged an official alliance with Babylonia. As an envoy of Akdilek Commercial Alliance, Sophia has left for Babylonia to provide assistance and expand her knowledge. She regularly brings Helium-3 collected by Babylonia to Asslam as train fuel.	Affection 6
121	1121002	1	No.001	\n"Commandant, I would like to confirm some details about the mission this time. Do you have the time now?" Leader of Strike Hawk, Tank-type. He is proficient in all weapons but prefers scythes. Temporarily visiting Gray Raven for a special co-op mission. Always tries to do his best in all tasks.	Affection 1
122	1121002	2	No.002	\nHas a special Inver-Device installed in his frame that allows him to take only the bare minimum orders from any Commandant. Always plans ahead for any mission and prepares multiple response plans to ensure his teammates can return safely.	Affection 2
123	1121002	3	No.003	\nAs members of a scout squad that always acts individually, Chrome and other teammates use an exclusive stable, interference-free channel to exchange their locations, statuses, and other voice messages over long range.	Affection 3
124	1121002	4	No.004	\nFormerly known as "Langston", he wanted to become a Commandant when he was a human, but an accident shut the door on him. He then voluntarily applied to become a Construct and is now serving as the leader of Strike Hawk.	Affection 4
125	1121002	5	No.005	\nWhen Chrome first became a Construct, he was often seen as an incapable pretty boy who only got promoted through political influence. However, he soon demonstrated outstanding capabilities that shut off all the accusations.	Affection 5
126	1121002	6	No.006	\n"A leader must always set high standards for himself both in battles and in a spiritual way." Always places high standards on himself. Prioritizes others around him in all situations and chooses to take on all the problems on his own.	Affection 6
127	1021004	1	No.001	\nBPL-01GR, code name Plume. Developed from all the available combat records of Gray Raven, this frame is flexible against all sorts of enemies, but the emphasis on burst power makes it somewhat unstable.	Affection 1
128	1021004	2	No.002	\nAs the chief developer of this frame, Asimov had Nikola's permission to use the available data of Alpha, along with other observation records. As a result, this frame was closer to the "original" Lucia rather than that of Gray Raven.	Affection 2
129	1021004	3	No.003	\nAfter the battle in Kowloong City, she imported all the memory data of Lucia, including Alpha's. However, it is worth noting that Plume is not the same Lucia as everybody knew.	Affection 3
130	1021004	4	No.004	\nThe additional thrusters installed on legs and back provide Plume with exceptional instantaneous acceleration and allow her to make sophisticated moves. The back thrusters can even be removed and used as weapons.	Affection 4
131	1021004	5	No.005	\nApart from blades, the original design could also be connected to external energy containers and use long-range weapons. This feature was not implemented on the actual frame, however.	Affection 5
132	1021004	6	No.006	\nThe first prototype Construct ever built for Babylonia's mid-term military Construct development plan.	Affection 6
